JPEG;960;641;615360;14768640;44168381;19219504
JPEG;960;641;615360;14768640;43132936;19219552
JPEG;960;641;615360;14768640;47970809;19219080
JPEG;960;637;611520;14676480;38018053;18453704
JPEG;960;641;615360;14768640;47568716;19224488
JPEG;960;641;615360;14768640;44531189;19219200
JPEG;960;637;611520;14676480;39753458;18454048
JPEG;960;637;611520;14676480;58249598;18453664
JPEG;960;637;611520;14676480;37625577;18454056
JPEG;960;641;615360;14768640;59443246;19219216
JPEG;960;641;615360;14768640;62636093;19219024
JPEG;960;641;615360;14768640;40527638;19221088
